Latitude,Longitude,predicted_prob,cell_id,Location
47.55127877843831,-122.303022558815,0.5004957154391455,579,Grid cell 579 (prob: 0.50)
47.54254413982207,-122.28285255821613,0.6402130388035175,581,Grid cell 581 (prob: 0.64)
47.54245925676625,-122.28949136677564,0.5156276734306184,582,Grid cell 582 (prob: 0.52)
47.55144973792456,-122.28974271644594,0.6160484734628523,585,Grid cell 585 (prob: 0.62)
47.555944978176846,-122.289868423809,0.6992266420536768,587,Grid cell 587 (prob: 0.70)
47.55602988360008,-122.2832278972898,0.7048448959729894,588,Grid cell 588 (prob: 0.70)
47.547123890646866,-122.27633824695748,0.5730165692884298,593,Grid cell 593 (prob: 0.57)
47.50691756942137,-122.25531546195097,0.5416217994450458,608,Grid cell 608 (prob: 0.54)
47.511329566956746,-122.26207298282036,0.518736374132394,614,Grid cell 614 (prob: 0.52)
47.51419547135135,-122.25171888587512,0.521558795262177,617,Grid cell 617 (prob: 0.52)
47.51989960631344,-122.26275397056042,0.5330568078490415,620,Grid cell 620 (prob: 0.53)
47.54729173256036,-122.26305937720178,0.5482987952597048,627,Grid cell 627 (prob: 0.55)
47.555774003677136,-122.3031494116652,0.5462821616563739,641,Grid cell 641 (prob: 0.55)
47.56035491737578,-122.29663523053475,0.6903106519207556,643,Grid cell 643 (prob: 0.69)
47.56026922866013,-122.30327628640572,0.5947454295097501,645,Grid cell 645 (prob: 0.59)
47.5648501496007,-122.29676155423292,0.9209751338575272,653,Grid cell 653 (prob: 0.92)
47.56943069729898,-122.2902456760773,0.7462729364918185,655,Grid cell 655 (prob: 0.75)
47.569345381515994,-122.29688789973395,0.7092706177402601,656,Grid cell 656 (prob: 0.71)
47.57389750445778,-122.28399792913252,0.5511397895300885,657,Grid cell 657 (prob: 0.55)
47.57384061309438,-122.29701426704342,0.8080853643057012,659,Grid cell 659 (prob: 0.81)
47.5690027215764,-122.27718644177256,0.5177450022840782,663,Grid cell 663 (prob: 0.52)
47.56789906965164,-122.2720622593012,0.5173148019696171,664,Grid cell 664 (prob: 0.52)
47.57183958562856,-122.28033369500064,0.5016544622937261,665,Grid cell 665 (prob: 0.50)
47.573668802493316,-122.3102997950936,0.5009746220028113,666,Grid cell 666 (prob: 0.50)
47.59173579408613,-122.3041650229946,0.6692731360468825,673,Grid cell 673 (prob: 0.67)
47.59164966453011,-122.3108100695727,0.8440540134484309,674,Grid cell 674 (prob: 0.84)
47.59623101604021,-122.30429207306187,0.5466126147193516,675,Grid cell 675 (prob: 0.55)
47.57831531124037,-122.28519422012714,0.5784117064442532,676,Grid cell 676 (prob: 0.58)
47.578335844308604,-122.29714065616704,0.6479320461108882,677,Grid cell 677 (prob: 0.65)
47.5816541917787,-122.2862010400447,0.5168284698814126,678,Grid cell 678 (prob: 0.52)
47.58290315565998,-122.2906595524789,0.5399135212004482,679,Grid cell 679 (prob: 0.54)
47.58283107513136,-122.2972670671104,0.5081721702439597,680,Grid cell 680 (prob: 0.51)
47.59182153549326,-122.29751995447907,0.7913317263699622,685,Grid cell 685 (prob: 0.79)
47.5919068887496,-122.29087486412507,0.5297784250827785,686,Grid cell 686 (prob: 0.53)
47.59631676497782,-122.2976464309157,0.7639116866823078,688,Grid cell 688 (prob: 0.76)
47.600640092808185,-122.31106533899758,0.8046876796719956,697,Grid cell 697 (prob: 0.80)
47.600726237492864,-122.30441914507054,0.8282376722475108,698,Grid cell 698 (prob: 0.83)
47.60522145841681,-122.30454623902628,0.7159800214914651,700,Grid cell 700 (prob: 0.72)
